cell quad (fq1) -> results/runs/quad_fq1.json | workloads ['mix_het', 'mix_hom'] | arms ['bo'] | seeds 0..1 | 180 designs per run
[bo-fq1-s0] 180 designs, batches of 3, 3 to warm up | mix_het+mix_hom | stock 0.6210
[bo-fq1-s1] 180 designs, batches of 3, 3 to warm up | mix_het+mix_hom | stock 0.6210
[bo-fq1-s0] round 0 | D1 | ipc=0.7353 | best 0.7353 | warm-up | 9 min
[bo-fq1-s0] round 0 | D2 | ipc=0.9911 | best 0.9911 | warm-up | 9 min
[bo-fq1-s0] round 0 | D3 | ipc=1.0574 | best 1.0574 | warm-up | 9 min
[bo-fq1-s1] round 0 | D1 | ipc=0.6613 | best 0.6613 | warm-up | 12 min
[bo-fq1-s1] round 0 | D2 | ipc=1.0786 | best 1.0786 | warm-up | 12 min
[bo-fq1-s1] round 0 | D3 | ipc=0.9392 | best 1.0786 | warm-up | 12 min
[bo-fq1-s0] round 1 | D4 | ipc=1.0693 | best 1.0693 | forest | 22 min
[bo-fq1-s0] round 1 | D5 | ipc=1.0525 | best 1.0693 | forest | 22 min
[bo-fq1-s0] round 1 | D6 | ipc=0.6916 | best 1.0693 | forest | 22 min
[bo-fq1-s1] round 1 | D4 | ipc=1.0799 | best 1.0799 | forest | 23 min
[bo-fq1-s1] round 1 | D5 | ipc=0.9305 | best 1.0799 | forest | 23 min
[bo-fq1-s1] round 1 | D6 | ipc=1.0145 | best 1.0799 | forest | 23 min
[bo-fq1-s0] round 2 | D7 | ipc=0.9044 | best 1.0693 | forest | 31 min
[bo-fq1-s0] round 2 | D8 | ipc=0.8706 | best 1.0693 | forest | 31 min
[bo-fq1-s0] round 2 | D9 | ipc=1.0818 | best 1.0818 | forest | 31 min
[bo-fq1-s1] round 2 | D7 | ipc=1.0849 | best 1.0849 | forest | 34 min
[bo-fq1-s1] round 2 | D8 | ipc=1.0774 | best 1.0849 | forest | 34 min
[bo-fq1-s1] round 2 | D9 | ipc=1.0770 | best 1.0849 | forest | 34 min
[bo-fq1-s0] round 3 | D10 | ipc=1.0394 | best 1.0818 | forest | 46 min
[bo-fq1-s0] round 3 | D11 | ipc=1.0836 | best 1.0836 | forest | 46 min
[bo-fq1-s0] round 3 | D12 | ipc=1.0617 | best 1.0836 | forest | 46 min
[bo-fq1-s1] round 3 | D10 | ipc=1.0769 | best 1.0849 | forest | 49 min
[bo-fq1-s1] round 3 | D11 | ipc=1.0464 | best 1.0849 | forest | 49 min
[bo-fq1-s1] round 3 | D12 | ipc=0.8888 | best 1.0849 | forest | 49 min
[bo-fq1-s0] round 4 | D13 | ipc=1.0829 | best 1.0836 | forest | 57 min
[bo-fq1-s0] round 4 | D14 | ipc=1.0718 | best 1.0836 | forest | 57 min
[bo-fq1-s0] round 4 | D15 | ipc=1.0169 | best 1.0836 | forest | 57 min
[bo-fq1-s1] round 4 | D13 | ipc=1.0872 | best 1.0872 | forest | 60 min
[bo-fq1-s1] round 4 | D14 | ipc=0.9321 | best 1.0872 | forest | 60 min
[bo-fq1-s1] round 4 | D15 | ipc=1.0834 | best 1.0872 | forest | 60 min
[bo-fq1-s0] round 5 | D16 | ipc=1.0603 | best 1.0836 | forest | 73 min
[bo-fq1-s0] round 5 | D17 | ipc=1.0605 | best 1.0836 | forest | 73 min
[bo-fq1-s0] round 5 | D18 | ipc=0.9272 | best 1.0836 | forest | 73 min
[bo-fq1-s1] round 5 | D16 | ipc=1.0882 | best 1.0882 | forest | 75 min
[bo-fq1-s1] round 5 | D17 | ipc=1.0338 | best 1.0882 | forest | 75 min
[bo-fq1-s1] round 5 | D18 | ipc=1.0402 | best 1.0882 | forest | 75 min
[bo-fq1-s0] round 6 | D19 | ipc=1.0831 | best 1.0836 | forest | 85 min
[bo-fq1-s0] round 6 | D20 | ipc=1.0317 | best 1.0836 | forest | 85 min
[bo-fq1-s0] round 6 | D21 | ipc=1.0773 | best 1.0836 | forest | 85 min
[bo-fq1-s1] round 6 | D19 | ipc=1.0785 | best 1.0882 | forest | 87 min
[bo-fq1-s1] round 6 | D20 | ipc=0.9286 | best 1.0882 | forest | 87 min
[bo-fq1-s1] round 6 | D21 | ipc=0.9290 | best 1.0882 | forest | 87 min
[bo-fq1-s0] round 7 | D22 | ipc=1.0281 | best 1.0836 | forest | 96 min
[bo-fq1-s0] round 7 | D23 | ipc=0.9230 | best 1.0836 | forest | 96 min
[bo-fq1-s0] round 7 | D24 | ipc=0.9129 | best 1.0836 | forest | 96 min
