cell aiml (mf1) -> results/runs/aiml_mf1.json | workloads ['llama2.c-llama2_7b.1', 'stable-diffusion.cpp-v1-5-pruned-emaonly.1', 'clip_trace_1'] | arms ['bo'] | seeds 0..1 | 180 designs per run
[bo-mf1-s1] 180 designs, batches of 3, 3 to warm up | llama2.c-llama2_7b.1+stable-diffusion.cpp-v1-5-pruned-emaonly.1+clip_trace_1 | stock 0.8457
[bo-mf1-s0] 180 designs, batches of 3, 3 to warm up | llama2.c-llama2_7b.1+stable-diffusion.cpp-v1-5-pruned-emaonly.1+clip_trace_1 | stock 0.8457
[bo-mf1-s1] round 0 | D1 | ipc=1.1654 | best 1.1654 | warm-up | 3 min
[bo-mf1-s1] round 0 | D2 | ipc=0.7502 | best 1.1654 | warm-up | 3 min
[bo-mf1-s1] round 0 | D3 | ipc=1.1346 | best 1.1654 | warm-up | 3 min
[bo-mf1-s0] round 0 | D1 | ipc=1.1633 | best 1.1633 | warm-up | 3 min
[bo-mf1-s0] round 0 | D2 | ipc=0.8797 | best 1.1633 | warm-up | 3 min
[bo-mf1-s0] round 0 | D3 | ipc=1.1470 | best 1.1633 | warm-up | 3 min
[bo-mf1-s1] round 1 | D4 | ipc=1.0414 | best 1.1654 | forest | 6 min
[bo-mf1-s1] round 1 | D5 | ipc=1.0462 | best 1.1654 | forest | 6 min
[bo-mf1-s1] round 1 | D6 | ipc=1.0941 | best 1.1654 | forest | 6 min
[bo-mf1-s0] round 1 | D4 | ipc=1.1651 | best 1.1651 | forest | 6 min
[bo-mf1-s0] round 1 | D5 | ipc=1.1823 | best 1.1823 | forest | 6 min
[bo-mf1-s0] round 1 | D6 | ipc=1.1005 | best 1.1823 | forest | 6 min
[bo-mf1-s0] round 2 | D7 | ipc=1.1858 | best 1.1858 | forest | 9 min
[bo-mf1-s0] round 2 | D8 | ipc=1.1830 | best 1.1858 | forest | 9 min
[bo-mf1-s0] round 2 | D9 | ipc=1.1401 | best 1.1858 | forest | 9 min
[bo-mf1-s1] round 2 | D7 | ipc=1.1327 | best 1.1654 | forest | 9 min
[bo-mf1-s1] round 2 | D8 | ipc=1.1673 | best 1.1673 | forest | 9 min
[bo-mf1-s1] round 2 | D9 | ipc=1.1654 | best 1.1673 | forest | 9 min
[bo-mf1-s1] round 3 | D10 | ipc=1.1673 | best 1.1673 | forest | 12 min
[bo-mf1-s1] round 3 | D11 | ipc=1.1114 | best 1.1673 | forest | 12 min
[bo-mf1-s1] round 3 | D12 | ipc=1.0371 | best 1.1673 | forest | 12 min
[bo-mf1-s0] round 3 | D10 | ipc=1.1854 | best 1.1858 | forest | 12 min
[bo-mf1-s0] round 3 | D11 | ipc=1.1846 | best 1.1858 | forest | 12 min
[bo-mf1-s0] round 3 | D12 | ipc=1.1647 | best 1.1858 | forest | 12 min
[bo-mf1-s1] round 4 | D13 | ipc=1.1408 | best 1.1673 | forest | 14 min
[bo-mf1-s1] round 4 | D14 | ipc=1.0347 | best 1.1673 | forest | 14 min
[bo-mf1-s1] round 4 | D15 | ipc=1.0329 | best 1.1673 | forest | 14 min
[bo-mf1-s0] round 4 | D13 | ipc=1.1839 | best 1.1858 | forest | 14 min
[bo-mf1-s0] round 4 | D14 | ipc=1.0443 | best 1.1858 | forest | 14 min
[bo-mf1-s0] round 4 | D15 | ipc=1.1850 | best 1.1858 | forest | 14 min
[bo-mf1-s1] round 5 | D16 | ipc=1.1613 | best 1.1673 | forest | 17 min
[bo-mf1-s1] round 5 | D17 | ipc=1.1604 | best 1.1673 | forest | 17 min
[bo-mf1-s1] round 5 | D18 | ipc=1.1670 | best 1.1673 | forest | 17 min
[bo-mf1-s0] round 5 | D16 | ipc=1.2271 | best 1.2271 | forest | 17 min
[bo-mf1-s0] round 5 | D17 | ipc=1.1852 | best 1.2271 | forest | 17 min
[bo-mf1-s0] round 5 | D18 | ipc=1.1604 | best 1.2271 | forest | 17 min
[bo-mf1-s0] round 6 | D19 | ipc=1.2047 | best 1.2271 | forest | 18 min
[bo-mf1-s0] round 6 | D20 | ipc=1.1798 | best 1.2271 | forest | 18 min
[bo-mf1-s0] round 6 | D21 | ipc=1.1548 | best 1.2271 | forest | 18 min
[bo-mf1-s0] round 7 | D22 | ipc=1.2287 | best 1.2287 | forest | 18 min
[bo-mf1-s0] round 7 | D23 | ipc=0.9979 | best 1.2287 | forest | 18 min
[bo-mf1-s0] round 7 | D24 | ipc=1.0181 | best 1.2287 | forest | 18 min
[bo-mf1-s0] round 8 | D25 | ipc=1.2080 | best 1.2287 | forest | 19 min
[bo-mf1-s0] round 8 | D26 | ipc=1.1635 | best 1.2287 | forest | 19 min
[bo-mf1-s0] round 8 | D27 | ipc=1.1635 | best 1.2287 | forest | 19 min
