cell gen (g3r) -> results/runs/next_gen_g3r.json | workloads ['llama2.c-llama2_7b.1', 'whiskey_0000'] | arms ['random'] | seeds 0..1 | 375 designs per run
[next-random-g3r-s1] round 1 | 5 designs | best 0.8461 | 0 min
[next-random-g3r-s0] round 1 | 5 designs | best 0.7539 | 0 min
[next-random-g3r-s1] round 2 | 10 designs | best 0.8461 | 0 min
[next-random-g3r-s0] round 2 | 10 designs | best 0.7909 | 0 min
[next-random-g3r-s1] round 3 | 15 designs | best 0.8461 | 0 min
[next-random-g3r-s0] round 3 | 15 designs | best 0.9225 | 0 min
[next-random-g3r-s1] round 4 | 20 designs | best 0.8867 | 0 min
[next-random-g3r-s0] round 4 | 20 designs | best 0.9225 | 0 min
[next-random-g3r-s1] round 5 | 25 designs | best 0.8867 | 0 min
[next-random-g3r-s0] round 5 | 25 designs | best 0.9225 | 0 min
[next-random-g3r-s1] round 6 | 30 designs | best 0.9440 | 0 min
[next-random-g3r-s0] round 6 | 30 designs | best 0.9225 | 0 min
[next-random-g3r-s1] round 7 | 35 designs | best 0.9440 | 0 min
[next-random-g3r-s0] round 7 | 35 designs | best 0.9225 | 0 min
[next-random-g3r-s1] round 8 | 40 designs | best 0.9440 | 0 min
[next-random-g3r-s0] round 8 | 40 designs | best 0.9225 | 0 min
[next-random-g3r-s1] round 9 | 45 designs | best 0.9459 | 0 min
[next-random-g3r-s0] round 9 | 45 designs | best 0.9225 | 0 min
[next-random-g3r-s1] round 10 | 50 designs | best 0.9459 | 0 min
[next-random-g3r-s0] round 10 | 50 designs | best 0.9225 | 0 min
[next-random-g3r-s1] round 11 | 55 designs | best 0.9459 | 0 min
[next-random-g3r-s0] round 11 | 55 designs | best 0.9268 | 0 min
[next-random-g3r-s1] round 12 | 60 designs | best 0.9459 | 0 min
[next-random-g3r-s0] round 12 | 60 designs | best 0.9268 | 0 min
[next-random-g3r-s1] round 13 | 65 designs | best 0.9547 | 0 min
[next-random-g3r-s0] round 13 | 65 designs | best 0.9268 | 0 min
[next-random-g3r-s1] round 14 | 70 designs | best 0.9547 | 0 min
[next-random-g3r-s0] round 14 | 70 designs | best 0.9268 | 0 min
[next-random-g3r-s1] round 15 | 75 designs | best 0.9547 | 0 min
[next-random-g3r-s0] round 15 | 75 designs | best 0.9268 | 0 min
[next-random-g3r-s1] round 16 | 80 designs | best 0.9547 | 0 min
[next-random-g3r-s0] round 16 | 80 designs | best 0.9268 | 0 min
[next-random-g3r-s1] round 17 | 85 designs | best 0.9547 | 0 min
[next-random-g3r-s0] round 17 | 85 designs | best 0.9268 | 0 min
[next-random-g3r-s0] round 18 | 90 designs | best 0.9268 | 0 min
[next-random-g3r-s1] round 18 | 90 designs | best 0.9547 | 0 min
[next-random-g3r-s0] round 19 | 95 designs | best 0.9268 | 0 min
[next-random-g3r-s1] round 19 | 95 designs | best 0.9547 | 0 min
